iter	Passed	Remaining
0	56	56169
1	56	28239
2	56	18924
3	57	14297
4	57	11519
5	58	9671
6	58	8337
7	59	7338
8	59	6554
9	59	5931
10	60	5419
11	60	4994
12	61	4634
13	61	4333
14	61	4065
15	62	3834
16	62	3625
17	63	3440
18	63	3275
19	63	3127
20	64	2992
21	64	2870
22	64	2760
23	65	2657
24	65	2562
25	66	2473
26	66	2391
27	66	2314
28	67	2244
29	67	2179
30	67	2116
31	68	2058
32	68	2005
33	68	1954
34	69	1905
35	69	1862
36	69	1818
37	70	1777
38	70	1737
39	70	1701
40	71	1665
41	71	1631
42	71	1599
43	72	1568
44	72	1540
45	72	1511
46	73	1484
47	73	1459
48	73	1434
49	74	1411
50	74	1388
51	75	1368
52	75	1346
53	75	1325
54	75	1305
55	76	1285
56	76	1267
57	76	1250
58	77	1233
59	77	1217
60	78	1201
61	78	1186
62	78	1172
63	79	1158
64	79	1144
65	79	1131
66	80	1118
67	80	1105
68	81	1095
69	81	1082
70	81	1070
71	82	1058
72	82	1047
73	82	1037
74	83	1027
75	83	1016
76	83	1005
77	84	995
78	84	985
79	84	975
80	85	966
81	85	957
82	85	947
83	86	939
84	86	930
85	86	921
86	87	913
87	87	905
88	87	898
89	88	890
90	88	883
91	88	876
92	89	868
93	89	861
94	89	854
95	89	847
96	90	841
97	90	834
98	91	828
99	91	822
100	91	816
101	92	810
102	92	804
103	92	798
104	93	793
105	93	787
106	93	782
107	94	776
108	94	771
109	94	765
110	94	760
111	95	755
112	95	750
113	95	745
114	96	741
115	96	736
116	96	730
117	97	725
118	97	721
119	97	717
120	98	713
121	98	708
122	98	703
123	99	699
124	99	695
125	99	691
126	99	686
127	100	683
128	100	679
129	101	675
130	101	672
131	101	668
132	101	664
133	102	661
134	102	657
135	103	655
136	103	652
137	103	648
138	104	645
139	104	642
140	104	639
141	105	634
142	105	631
143	105	628
144	106	625
145	106	621
146	106	620
147	107	617
148	107	614
149	107	611
150	108	608
151	108	605
152	108	602
153	109	600
154	109	597
155	109	594
156	110	591
157	110	589
158	110	586
159	111	584
160	111	581
161	112	579
162	112	576
163	112	574
164	112	571
165	113	568
166	113	566
167	113	563
168	114	561
169	114	559
170	114	557
171	115	554
172	115	553
173	116	550
174	116	549
175	117	547
176	117	545
177	117	543
178	118	541
179	118	539
180	118	537
181	119	535
182	119	533
183	119	531
184	120	528
185	120	526
186	120	524
187	121	522
188	121	520
189	121	518
190	121	516
191	122	515
192	122	513
193	123	511
194	123	509
195	123	508
196	124	506
197	124	504
198	124	502
199	125	500
200	125	499
201	125	497
202	126	495
203	126	494
204	127	492
205	127	490
206	127	488
207	127	487
208	128	485
209	128	483
210	128	482
211	129	480
212	129	478
213	129	476
214	130	475
215	130	474
216	130	472
217	131	470
218	131	469
219	132	468
220	132	466
221	132	464
222	132	463
223	133	461
224	133	460
225	133	458
226	134	457
227	134	455
228	134	453
229	135	452
230	135	450
231	135	449
232	136	448
233	136	446
234	136	445
235	137	443
236	137	442
237	137	440
238	137	439
239	138	437
240	138	436
241	138	435
242	139	434
243	139	432
244	140	431
245	140	430
246	140	429
247	141	427
248	141	426
249	141	425
250	142	424
251	142	422
252	142	421
253	143	420
254	143	418
255	143	417
256	144	416
257	144	415
258	144	413
259	145	412
260	145	411
261	145	410
262	145	408
263	146	407
264	146	406
265	146	405
266	147	404
267	147	402
268	147	401
269	148	400
270	148	399
271	148	397
272	149	396
273	149	395
274	149	394
275	150	393
276	150	393
277	150	391
278	151	390
279	151	389
280	151	388
281	152	387
282	152	387
283	153	386
284	153	385
285	154	384
286	154	383
287	154	382
288	155	381
289	155	380
290	155	379
291	156	378
